key,ticker,cik,form,year,covers
AAPL,AAPL,,10-K,,52/53-week fiscal year ending in September; a very large filer
MSFT,MSFT,,10-K,,June fiscal year end
JPM,JPM,,10-K,,bank: no gross profit line; interest income presentation
XOM,XOM,,10-K,,large integrated energy filer
BRK.B,BRK.B,,10-K,,holding company with an insurance segment and a very long balance sheet
WMT,WMT,,10-K,,January fiscal year end; 52/53-week retailer
GOOGL,GOOGL,,10-K,,two share classes on one CIK
AMZN,AMZN,,10-K,,large filer with a substantial cash flow statement
JNJ,JNJ,,10-K,,healthcare filer with segment detail
PG,PG,,10-K,,June fiscal year end; consumer staples
SPG,SPG,,10-K,,REIT co-filing a combined 10-K with its operating partnership
PLD,PLD,,10-K,,REIT
MET,MET,,10-K,,insurer
PGR,PGR,,10-K,,insurer with a non-standard income statement
MRNA,MRNA,,10-K,,biotech: revenue can be absent or negative in some periods
COST,COST,,10-K,,52/53-week fiscal year ending in late August/September
NKE,NKE,,10-K,,May fiscal year end
KO,KO,,10-K,,calendar year end; long-standing filer
TSLA,TSLA,,10-K,,recent large filer with rapid line-item change
RY,RY,,40-F,,foreign private issuer filing 40-F under IFRS
TFIN,TFIN,,10-Q,,bank whose fee income is several lines on one tag told apart only by a dimension: the case the fixture was modelled on
MMM,MMM,,10-K,,discontinued operations after the 2024 Solventum spin-off
TM,TM,,20-F,,foreign private issuer filing 20-F under IFRS
KO_2010,KO,,10-K,2010,filed in 2010 for fiscal 2009: the first year of mandatory XBRL; before the inline format
VITRO,,793171,10-K,,small company that invents its own labels
ETHEMA,,792935,10-K,,small company that invents its own labels; gross profit reported the other way up
